id;my_node_type
1000001;bc_2001
1000002;bc_2001
1000003;bc_2001
1000004;bc_2001
1000005;bc_2001
1000006;bc_2001
1000007;bc_2001
1000008;bc_2001
1000009;bc_2001
1000010;bc_2001
1000011;bc_2001
1000012;bc_2001
1000013;bc_2001
1000014;bc_2001
1000015;bc_2001
1000016;bc_2001
1000017;bc_2001
1000018;bc_2001
1000019;bc_2001
1000020;bc_2001
1000021;bc_2001
1000022;bc_2001
1000023;bc_2001
1000024;bc_2001
1000025;bc_2001
1000026;bc_2001
1000027;bc_2001
1000028;bc_2001
1000029;bc_2001
1000030;bc_2001
1000031;bc_2001
1000032;bc_2001
1000033;bc_2001
1000034;bc_2001
1000035;bc_2001
1000036;bc_2001
1000037;bc_2001
1000038;bc_2001
1000039;bc_2001
1000040;bc_2001
1000041;bc_2001
1000042;bc_2001
1000043;bc_2001
1000044;bc_2001
1000045;bc_2001
1000046;bc_2001
1000047;bc_2001
1000048;bc_2001
1000049;bc_2001
1000050;bc_2001
1000051;bc_2001
1000052;bc_2001
1000053;bc_2001
1000054;bc_2001
1000055;bc_2001
1000056;bc_2001
1000057;bc_2001
1000058;bc_2001
1000059;bc_2001
1000060;bc_2001
1000061;bc_2001
1000062;bc_2001
1000063;bc_2001
1000064;bc_2001
1000065;bc_2001
1000066;bc_2001
1000067;bc_2001
1000068;bc_2001
1000069;bc_2001
1000070;bc_2001
1000071;bc_2001
1000072;bc_2001
1000073;bc_2001
1000074;bc_2001
1000075;bc_2001
1000076;bc_2001
1000077;bc_2001
1000078;bc_2001
1000079;bc_2001
1000080;bc_2001
1000081;bc_2001
1000082;bc_2001
1000083;bc_2001
1000084;bc_2001
1000085;bc_2001
1000086;bc_2001
1000087;bc_2001
1000088;bc_2001
1000089;bc_2001
1000090;bc_2001
1000091;bc_2001
1000092;bc_2001
1000093;bc_2001
1000094;bc_2001
1000095;bc_2001
1000096;bc_2001
1000097;bc_2001
1000098;bc_2001
1000099;bc_2001
1000100;bc_2001
1000101;bc_2001
1000102;bc_2001
1000103;bc_2001
1000104;bc_2001
1000105;bc_2001
1000106;bc_2001
1000107;bc_2001
1000108;bc_2001
1000109;bc_2001
1000110;bc_2001
1000111;bc_2001
1000112;bc_2001
1000113;bc_2001
1000114;bc_2001
1000115;bc_2001
1000116;bc_2001
1000117;bc_2001
1000118;bc_2001
1000119;bc_2001
1000120;bc_2001
1000121;bc_2001
1000122;bc_2001
1000123;bc_2001
1000124;bc_2001
1000125;bc_2001
1000126;bc_2001
1000127;bc_2001
1000128;bc_2001
1000129;bc_2001
1000130;bc_2001
1000131;bc_2001
1000132;bc_2001
1000133;bc_2001
1000134;bc_2001
1000135;bc_2001
1000136;bc_2001
1000137;bc_2001
1000138;bc_2001
1000139;bc_2001
1000140;bc_2001
1000141;bc_2001
1000142;bc_2001
1000143;bc_2001
1000144;bc_2001
1000145;bc_2001
1000146;bc_2001
1000147;bc_2001
1000148;bc_2001
1000149;bc_2001
1000150;bc_2001
1000151;bc_2001
1000152;bc_2001
1000153;bc_2001
1000154;bc_2001
1000155;bc_2001
1000156;bc_2001
1000157;bc_2001
1000158;bc_2001
1000159;bc_2001
1000160;bc_2001
1000161;bc_2001
1000162;bc_2001
1000163;bc_2001
1000164;bc_2001
1000165;bc_2001
1000166;bc_2001
1000167;bc_2001
1000168;bc_2001
1000169;bc_2001
1000170;bc_2001
1000171;bc_2001
1000172;bc_2001
1000173;bc_2001
1000174;bc_2001
1000175;bc_2001
1000176;bc_2001
1000177;bc_2001
1000178;bc_2001
1000179;bc_2001
1000180;bc_2001
1000181;bc_2001
1000182;bc_2001
1000183;bc_2001
1000184;bc_2001
1000185;bc_2001
1000186;bc_2001
1000187;bc_2001
1000188;bc_2001
1000189;bc_2001
1000190;bc_2001
1000191;bc_2001
1000192;bc_2001
1000193;bc_2001
1000194;bc_2001
1000195;bc_2001
1000196;bc_2001
1000197;bc_2001
1000198;bc_2001
1000199;bc_2001
1000200;bc_2001
1000201;bc_2001
1000202;bc_2001
1000203;bc_2001
1000204;bc_2001
1000205;bc_2001
1000206;bc_2001
1000207;bc_2001
1000208;bc_2001
1000209;bc_2001
1000210;bc_2001
1000211;bc_2001
1000212;bc_2001
1000213;bc_2001
1000214;bc_2001
1000215;bc_2001
1000216;bc_2001
1000217;bc_2001
1000218;bc_2001
1000219;bc_2001
1000220;bc_2001
1000221;bc_2001
1000222;bc_2001
1000223;bc_2001
1000224;bc_2001
1000225;bc_2001
1000226;bc_2001
1000227;bc_2001
1000228;bc_2001
1000229;bc_2001
1000230;bc_2001
1000231;bc_2001
1000232;bc_2001
1000233;bc_2001
1000234;bc_2001
1000235;bc_2001
1000236;bc_2001
1000237;bc_2001
1000238;bc_2001
1000239;bc_2001
1000240;bc_2001
1000241;bc_2001
1000242;bc_2001
1000243;bc_2001
1000244;bc_2001
1000245;bc_2001
1000246;bc_2001
1000247;bc_2001
1000248;bc_2001
1000249;bc_2001
1000250;bc_2001
1000251;bc_2001
1000252;bc_2001
1000253;bc_2001
1000254;bc_2001
1000255;bc_2001
1000256;bc_2001
1000257;bc_2001
1000258;bc_2001
1000259;bc_2001
1000260;bc_2001
1000261;bc_2001
1000262;bc_2001
1000263;bc_2001
1000264;bc_2001
1000265;bc_2001
1000266;bc_2001
1000267;bc_2001
1000268;bc_2001
1000269;bc_2001
1000270;bc_2001
1000271;bc_2001
