Source;Target;Type;Weight;CommLink
10001;9;Directed;0.001;11
10001;88;Directed;0.001;11
10001;456;Directed;0.001;11
10001;569;Directed;0.001;11
10001;574;Directed;0.001;11
10001;640;Directed;0.001;11
10001;641;Directed;0.001;11
10001;642;Directed;0.001;11
10001;643;Directed;0.001;11
10001;644;Directed;0.001;11
10001;645;Directed;0.001;11
10001;646;Directed;0.001;11
10001;647;Directed;0.001;11
10001;648;Directed;0.001;11
10001;649;Directed;0.001;11
10001;650;Directed;0.001;11
10001;651;Directed;0.001;11
10001;653;Directed;0.001;11
10001;654;Directed;0.001;11
10001;655;Directed;0.001;11
10001;656;Directed;0.001;11
10001;657;Directed;0.001;11
10001;658;Directed;0.001;11
10001;659;Directed;0.001;11
10001;660;Directed;0.001;11
10001;661;Directed;0.001;11
10001;662;Directed;0.001;11
10001;663;Directed;0.001;11
10001;664;Directed;0.001;11
10001;665;Directed;0.001;11
10001;666;Directed;0.001;11
10001;667;Directed;0.001;11
10001;670;Directed;0.001;11
10001;671;Directed;0.001;11
10001;673;Directed;0.001;11
10001;674;Directed;0.001;11
10001;675;Directed;0.001;11
10001;676;Directed;0.001;11
10001;677;Directed;0.001;11
10001;679;Directed;0.001;11
10001;688;Directed;0.001;11
10001;689;Directed;0.001;11
10001;690;Directed;0.001;11
10001;691;Directed;0.001;11
10001;692;Directed;0.001;11
10001;693;Directed;0.001;11
10001;694;Directed;0.001;11
10001;695;Directed;0.001;11
10001;696;Directed;0.001;11
10001;697;Directed;0.001;11
10001;698;Directed;0.001;11
10001;699;Directed;0.001;11
10001;700;Directed;0.001;11
10001;701;Directed;0.001;11
10001;703;Directed;0.001;11
10001;712;Directed;0.001;11
10001;713;Directed;0.001;11
10001;714;Directed;0.001;11
10001;715;Directed;0.001;11
10001;717;Directed;0.001;11
10001;718;Directed;0.001;11
10001;719;Directed;0.001;11
10001;736;Directed;0.001;11
10001;738;Directed;0.001;11
10001;739;Directed;0.001;11
10001;740;Directed;0.001;11
10001;741;Directed;0.001;11
10001;742;Directed;0.001;11
10001;743;Directed;0.001;11
10001;744;Directed;0.001;11
10001;745;Directed;0.001;11
10001;746;Directed;0.001;11
