Source;Target;Type;Weight;CommLink
1;2;Directed;1.0;50
1;3;Directed;1.0;50
1;163;Directed;1.0;50
1;354;Directed;1.0;50
1;566;Directed;1.0;50
1;567;Directed;1.0;50
1;568;Directed;1.0;50
1;569;Directed;1.0;50
1;632;Directed;1.0;50
1;931;Directed;1.0;50
1;932;Directed;1.0;50
2;1;Directed;1.0;50
2;3;Directed;1.0;50
3;1;Directed;1.0;50
3;2;Directed;1.0;50
3;163;Directed;1.0;50
3;354;Directed;1.0;50
3;632;Directed;1.0;50
4;5;Directed;1.0;50
4;6;Directed;1.0;50
4;461;Directed;1.0;50
4;462;Directed;1.0;50
4;463;Directed;1.0;50
4;464;Directed;1.0;50
5;4;Directed;1.0;50
5;6;Directed;1.0;50
6;4;Directed;1.0;50
6;5;Directed;1.0;50
6;461;Directed;1.0;50
6;462;Directed;1.0;50
6;463;Directed;1.0;50
6;464;Directed;1.0;50
7;8;Directed;1.0;50
7;9;Directed;1.0;50
8;7;Directed;1.0;50
8;9;Directed;1.0;50
9;7;Directed;1.0;50
9;8;Directed;1.0;50
9;1971;Directed;1.0;50
10;11;Directed;1.0;50
10;12;Directed;1.0;50
11;10;Directed;1.0;50
11;12;Directed;1.0;50
12;10;Directed;1.0;50
12;11;Directed;1.0;50
13;14;Directed;1.0;50
13;15;Directed;1.0;50
13;16;Directed;1.0;50
14;13;Directed;1.0;50
14;15;Directed;1.0;50
14;16;Directed;1.0;50
14;147;Directed;1.0;50
14;148;Directed;1.0;50
14;149;Directed;1.0;50
14;150;Directed;1.0;50
14;151;Directed;1.0;50
14;152;Directed;1.0;50
15;13;Directed;1.0;50
15;14;Directed;1.0;50
15;16;Directed;1.0;50
15;147;Directed;1.0;50
15;148;Directed;1.0;50
15;149;Directed;1.0;50
15;150;Directed;1.0;50
15;151;Directed;1.0;50
15;152;Directed;1.0;50
15;414;Directed;1.0;50
15;415;Directed;1.0;50
15;416;Directed;1.0;50
15;417;Directed;1.0;50
16;13;Directed;1.0;50
16;14;Directed;1.0;50
16;15;Directed;1.0;50
17;18;Directed;1.0;50
17;19;Directed;1.0;50
17;20;Directed;1.0;50
18;17;Directed;1.0;50
18;19;Directed;1.0;50
18;20;Directed;1.0;50
19;17;Directed;1.0;50
19;18;Directed;1.0;50
19;20;Directed;1.0;50
20;17;Directed;1.0;50
20;18;Directed;1.0;50
20;19;Directed;1.0;50
21;22;Directed;1.0;50
21;23;Directed;1.0;50
21;24;Directed;1.0;50
22;21;Directed;1.0;50
22;23;Directed;1.0;50
22;24;Directed;1.0;50
22;1540;Directed;1.0;50
23;21;Directed;1.0;50
23;22;Directed;1.0;50
23;24;Directed;1.0;50
23;1540;Directed;1.0;50
24;21;Directed;1.0;50
24;22;Directed;1.0;50
24;23;Directed;1.0;50
24;164;Directed;1.0;50
24;539;Directed;1.0;50
24;540;Directed;1.0;50
24;1540;Directed;1.0;50
24;1551;Directed;1.0;50
25;26;Directed;1.0;50
25;27;Directed;1.0;50
26;25;Directed;1.0;50
26;27;Directed;1.0;50
27;25;Directed;1.0;50
27;26;Directed;1.0;50
27;743;Directed;1.0;50
27;744;Directed;1.0;50
27;745;Directed;1.0;50
27;2127;Directed;1.0;50
27;2128;Directed;1.0;50
27;2129;Directed;1.0;50
27;2130;Directed;1.0;50
28;29;Directed;1.0;50
28;30;Directed;1.0;50
29;28;Directed;1.0;50
29;30;Directed;1.0;50
