Source;Target;Type;Timestamp;Set;Weight
66666667;1;Directed;[2001, 2003, 2004, 2005, 2006, 2007, 2008];21;0.01
66666670;1;Directed;[2002];24;0.01
66666671;1;Directed;[2009];25;0.01
66666667;2;Directed;[2001];21;0.01
66666666;3;Directed;[2004];20;0.01
66666667;3;Directed;[2001, 2003, 2005, 2006, 2007, 2008];21;0.01
66666670;3;Directed;[2002];24;0.01
66666671;3;Directed;[2009];25;0.01
66666667;4;Directed;[2003, 2004];21;0.01
66666669;4;Directed;[2001];23;0.01
66666671;4;Directed;[2009];25;0.01
66666667;5;Directed;[2001];21;0.01
66666667;6;Directed;[2003];21;0.01
66666669;6;Directed;[2001];23;0.01
66666666;7;Directed;[2006, 2007];20;0.01
66666667;7;Directed;[2001, 2005];21;0.01
66666667;8;Directed;[2001];21;0.01
66666666;9;Directed;[2002, 2004];20;0.01
66666667;9;Directed;[2001, 2003, 2005, 2006, 2007, 2008];21;0.01
66666671;9;Directed;[2009];25;0.01
66666667;10;Directed;[2001];21;0.01
66666667;11;Directed;[2001];21;0.01
66666667;12;Directed;[2001];21;0.01
66666667;13;Directed;[2001];21;0.01
66666667;14;Directed;[2001];21;0.01
66666667;15;Directed;[2003, 2004, 2005, 2006, 2007, 2008];21;0.01
66666671;15;Directed;[2001, 2009];25;0.01
66666667;16;Directed;[2001];21;0.01
66666667;17;Directed;[2001];21;0.01
66666667;18;Directed;[2001, 2005];21;0.01
66666667;19;Directed;[2001, 2005];21;0.01
66666667;20;Directed;[2001];21;0.01
66666667;21;Directed;[2001];21;0.01
66666666;22;Directed;[2006];20;0.01
66666669;22;Directed;[2001];23;0.01
66666667;23;Directed;[2006];21;0.01
66666669;23;Directed;[2001];23;0.01
66666667;24;Directed;[2001, 2007];21;0.01
66666671;24;Directed;[2005, 2009];25;0.01
66666666;25;Directed;[2002];20;0.01
66666667;25;Directed;[2003, 2004, 2005, 2006];21;0.01
66666669;25;Directed;[2001];23;0.01
66666671;25;Directed;[2007, 2008, 2009];25;0.01
66666667;26;Directed;[2002, 2004];21;0.01
66666669;26;Directed;[2001];23;0.01
66666667;27;Directed;[2001, 2003, 2007];21;0.01
66666671;27;Directed;[2005];25;0.01
66666667;28;Directed;[2003, 2005];21;0.01
66666670;28;Directed;[2009];24;0.01
66666671;28;Directed;[2001];25;0.01
66666667;29;Directed;[2001];21;0.01
66666667;30;Directed;[2001, 2005, 2006, 2007];21;0.01
66666667;31;Directed;[2003];21;0.01
66666671;31;Directed;[2001];25;0.01
66666667;32;Directed;[2001, 2005, 2006];21;0.01
66666670;32;Directed;[2002];24;0.01
66666666;33;Directed;[2004];20;0.01
66666667;33;Directed;[2001, 2005, 2006, 2007];21;0.01
66666671;33;Directed;[2009];25;0.01
66666667;34;Directed;[2001, 2006, 2007];21;0.01
66666670;34;Directed;[2002];24;0.01
66666667;35;Directed;[2001, 2005, 2007];21;0.01
66666670;35;Directed;[2002];24;0.01
66666666;36;Directed;[2007];20;0.01
66666667;36;Directed;[2004, 2005, 2006, 2008];21;0.01
66666669;36;Directed;[2001, 2003];23;0.01
66666670;36;Directed;[2002];24;0.01
66666671;36;Directed;[2009];25;0.01
66666667;37;Directed;[2001];21;0.01
66666670;37;Directed;[2002];24;0.01
66666667;38;Directed;[2001];21;0.01
66666666;39;Directed;[2007];20;0.01
66666667;39;Directed;[2004, 2005, 2006, 2008];21;0.01
66666669;39;Directed;[2001, 2003];23;0.01
66666670;39;Directed;[2002];24;0.01
66666671;39;Directed;[2009];25;0.01
66666667;40;Directed;[2001];21;0.01
66666670;40;Directed;[2002];24;0.01
66666667;41;Directed;[2001];21;0.01
66666667;42;Directed;[2001];21;0.01
66666670;42;Directed;[2002];24;0.01
66666667;43;Directed;[2001];21;0.01
66666666;44;Directed;[2006];20;0.01
66666667;44;Directed;[2001];21;0.01
66666666;45;Directed;[2002];20;0.01
66666667;45;Directed;[2003, 2005, 2006, 2007];21;0.01
66666671;45;Directed;[2001, 2004, 2008, 2009];25;0.01
66666666;46;Directed;[2002, 2006];20;0.01
66666667;46;Directed;[2001, 2003, 2008];21;0.01
66666671;46;Directed;[2005, 2009];25;0.01
66666667;47;Directed;[2001];21;0.01
66666667;48;Directed;[2001, 2002, 2003, 2007];21;0.01
66666671;48;Directed;[2004, 2008, 2009];25;0.01
66666666;49;Directed;[2002];20;0.01
66666667;49;Directed;[2001, 2003, 2004, 2005, 2006, 2008];21;0.01
66666666;50;Directed;[2002];20;0.01
66666667;50;Directed;[2001, 2004, 2006];21;0.01
66666669;50;Directed;[2003];23;0.01
66666667;51;Directed;[2001, 2004, 2005, 2006, 2007, 2008];21;0.01
66666670;51;Directed;[2002];24;0.01
66666671;51;Directed;[2009];25;0.01
66666667;52;Directed;[2001, 2005];21;0.01
66666667;53;Directed;[2001];21;0.01
66666667;54;Directed;[2001];21;0.01
66666666;55;Directed;[2004];20;0.01
66666667;55;Directed;[2001];21;0.01
66666667;56;Directed;[2003, 2004, 2006];21;0.01
66666670;56;Directed;[2002];24;0.01
66666671;56;Directed;[2001];25;0.01
66666667;57;Directed;[2006, 2007];21;0.01
66666668;57;Directed;[2001];22;0.01
66666669;57;Directed;[2005];23;0.01
66666670;57;Directed;[2002];24;0.01
66666671;57;Directed;[2004];25;0.01
66666667;58;Directed;[2003];21;0.01
66666671;58;Directed;[2001];25;0.01
66666666;59;Directed;[2006];20;0.01
66666671;59;Directed;[2001, 2004];25;0.01
66666667;60;Directed;[2001];21;0.01
66666667;61;Directed;[2001];21;0.01
66666666;62;Directed;[2002, 2007];20;0.01
66666667;62;Directed;[2001, 2003, 2004, 2008];21;0.01
66666666;63;Directed;[2007];20;0.01
66666667;63;Directed;[2004];21;0.01
66666671;63;Directed;[2001];25;0.01
66666667;64;Directed;[2001];21;0.01
66666667;65;Directed;[2001, 2006, 2008];21;0.01
66666670;65;Directed;[2002];24;0.01
66666671;65;Directed;[2009];25;0.01
66666667;66;Directed;[2001];21;0.01
66666666;67;Directed;[2002];20;0.01
66666667;67;Directed;[2001, 2003];21;0.01
66666667;68;Directed;[2007, 2008];21;0.01
66666671;68;Directed;[2001, 2009];25;0.01
66666669;69;Directed;[2001];23;0.01
66666667;70;Directed;[2001];21;0.01
66666667;71;Directed;[2001];21;0.01
66666667;72;Directed;[2001];21;0.01
66666667;73;Directed;[2001];21;0.01
66666667;74;Directed;[2001];21;0.01
66666667;75;Directed;[2001];21;0.01
66666667;76;Directed;[2001, 2004, 2008];21;0.01
66666666;77;Directed;[2002];20;0.01
66666667;77;Directed;[2001, 2004, 2005, 2006];21;0.01
66666667;78;Directed;[2001, 2004];21;0.01
66666671;78;Directed;[2009];25;0.01
66666667;79;Directed;[2001];21;0.01
66666667;80;Directed;[2001];21;0.01
66666667;81;Directed;[2001];21;0.01
66666667;82;Directed;[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008];21;0.01
66666671;82;Directed;[2009];25;0.01
66666667;83;Directed;[2003, 2004, 2005, 2006, 2007, 2008];21;0.01
66666669;83;Directed;[2001];23;0.01
66666670;83;Directed;[2002];24;0.01
66666671;83;Directed;[2009];25;0.01
66666666;84;Directed;[2002, 2006];20;0.01
66666667;84;Directed;[2001, 2005, 2007, 2008];21;0.01
66666671;84;Directed;[2009];25;0.01
66666667;85;Directed;[2001];21;0.01
66666667;86;Directed;[2001];21;0.01
66666667;87;Directed;[2001];21;0.01
66666666;88;Directed;[2001];20;0.01
66666667;88;Directed;[2003, 2004, 2005, 2006, 2007, 2008];21;0.01
66666670;88;Directed;[2002];24;0.01
66666671;88;Directed;[2009];25;0.01
66666666;89;Directed;[2002];20;0.01
66666667;89;Directed;[2001, 2003, 2004, 2005, 2006, 2007];21;0.01
66666667;90;Directed;[2003, 2004, 2005, 2007, 2008];21;0.01
66666669;90;Directed;[2001];23;0.01
66666670;90;Directed;[2002];24;0.01
66666671;90;Directed;[2009];25;0.01
66666667;91;Directed;[2001];21;0.01
66666666;92;Directed;[2002];20;0.01
66666667;92;Directed;[2005, 2006, 2007, 2008];21;0.01
66666669;92;Directed;[2001];23;0.01
66666670;92;Directed;[2004];24;0.01
66666671;92;Directed;[2009];25;0.01
66666666;93;Directed;[2002];20;0.01
66666667;93;Directed;[2001, 2003, 2004, 2005, 2006, 2007, 2008];21;0.01
66666671;93;Directed;[2009];25;0.01
66666669;94;Directed;[2001];23;0.01
66666667;95;Directed;[2005, 2006, 2007, 2008];21;0.01
66666669;95;Directed;[2001];23;0.01
66666670;95;Directed;[2002, 2004];24;0.01
66666671;95;Directed;[2009];25;0.01
66666669;96;Directed;[2001];23;0.01
66666666;97;Directed;[2004];20;0.01
66666667;97;Directed;[2001, 2007];21;0.01
66666669;98;Directed;[2001];23;0.01
66666669;99;Directed;[2001];23;0.01
66666670;99;Directed;[2002];24;0.01
66666666;100;Directed;[2007];20;0.01
66666667;100;Directed;[2001, 2004, 2005, 2006];21;0.01
66666670;100;Directed;[2002];24;0.01
66666671;100;Directed;[2009];25;0.01
66666667;101;Directed;[2001, 2003];21;0.01
66666667;102;Directed;[2001];21;0.01
66666670;102;Directed;[2002];24;0.01
66666667;103;Directed;[2001];21;0.01
66666667;104;Directed;[2001, 2008];21;0.01
66666670;104;Directed;[2002];24;0.01
66666671;104;Directed;[2009];25;0.01
66666667;105;Directed;[2001, 2003, 2005];21;0.01
66666670;105;Directed;[2002];24;0.01
66666666;106;Directed;[2006];20;0.01
66666667;106;Directed;[2001, 2003];21;0.01
66666670;106;Directed;[2002];24;0.01
66666667;107;Directed;[2001, 2003, 2005, 2006, 2007, 2008];21;0.01
66666670;107;Directed;[2002];24;0.01
66666671;107;Directed;[2009];25;0.01
66666667;108;Directed;[2001];21;0.01
66666671;108;Directed;[2009];25;0.01
66666667;109;Directed;[2001];21;0.01
66666669;110;Directed;[2001];23;0.01
66666667;111;Directed;[2001, 2003, 2004, 2007];21;0.01
66666669;112;Directed;[2001];23;0.01
66666667;113;Directed;[2001];21;0.01
66666667;114;Directed;[2001];21;0.01
66666667;115;Directed;[2001];21;0.01
66666666;116;Directed;[2003];20;0.01
66666667;116;Directed;[2001, 2004, 2005];21;0.01
66666670;116;Directed;[2002];24;0.01
66666671;116;Directed;[2009];25;0.01
66666667;117;Directed;[2001, 2004];21;0.01
66666669;117;Directed;[2003];23;0.01
66666669;118;Directed;[2001];23;0.01
66666669;119;Directed;[2001];23;0.01
66666667;120;Directed;[2001, 2004];21;0.01
66666667;121;Directed;[2001];21;0.01
66666667;122;Directed;[2001, 2005, 2008];21;0.01
66666671;122;Directed;[2007];25;0.01
66666667;123;Directed;[2001];21;0.01
66666666;124;Directed;[2001, 2007];20;0.01
66666667;124;Directed;[2005, 2006, 2008];21;0.01
66666670;124;Directed;[2002];24;0.01
66666671;124;Directed;[2009];25;0.01
66666669;125;Directed;[2001];23;0.01
66666669;126;Directed;[2001];23;0.01
66666667;127;Directed;[2001, 2006];21;0.01
66666666;128;Directed;[2007];20;0.01
66666667;128;Directed;[2001, 2004, 2005, 2006];21;0.01
66666670;128;Directed;[2002];24;0.01
66666671;128;Directed;[2009];25;0.01
66666667;129;Directed;[2001, 2003, 2004, 2005];21;0.01
66666670;129;Directed;[2002];24;0.01
66666667;130;Directed;[2001];21;0.01
66666667;131;Directed;[2001, 2005, 2006];21;0.01
66666670;131;Directed;[2002];24;0.01
66666667;132;Directed;[2001, 2004, 2005, 2006];21;0.01
66666667;133;Directed;[2001];21;0.01
66666667;134;Directed;[2001];21;0.01
66666667;135;Directed;[2001];21;0.01
66666667;136;Directed;[2001, 2004];21;0.01
66666670;136;Directed;[2002];24;0.01
66666667;137;Directed;[2001];21;0.01
66666666;138;Directed;[2006];20;0.01
66666667;138;Directed;[2001, 2003, 2005, 2007, 2008];21;0.01
66666670;138;Directed;[2002, 2004];24;0.01
66666671;138;Directed;[2009];25;0.01
66666666;139;Directed;[2004, 2006];20;0.01
66666667;139;Directed;[2005, 2007, 2008];21;0.01
66666669;139;Directed;[2001];23;0.01
66666670;139;Directed;[2002];24;0.01
66666669;140;Directed;[2001];23;0.01
66666667;141;Directed;[2001, 2004, 2005, 2006, 2007, 2008];21;0.01
66666669;141;Directed;[2003];23;0.01
66666670;141;Directed;[2002];24;0.01
66666671;141;Directed;[2009];25;0.01
66666667;142;Directed;[2005, 2006, 2007, 2008];21;0.01
66666669;142;Directed;[2001, 2003];23;0.01
66666670;142;Directed;[2002, 2004];24;0.01
66666671;142;Directed;[2009];25;0.01
66666667;143;Directed;[2005, 2006, 2007, 2008];21;0.01
66666669;143;Directed;[2001, 2003];23;0.01
66666670;143;Directed;[2002, 2004];24;0.01
66666667;144;Directed;[2001];21;0.01
